Gene_name,ID
ATAD1,398
ATAD3A,399
ATAT1,400
ATCAY,401
ATE1,402
ATF2,403
ATG101,404
ATG12,405
ATG16L1,406
ATG2A,407
ATG2B,408
ATG3,409
ATG4B,410
ATG4C,411
ATG5,412
ATG7,413
ATG9A,414
ATIC,415
ATL1,416
ATL2,417
ATL3,418
ATOX1,419
ATP11A,420
ATP11B,421
ATP13A2,422
ATP13A3,423
ATP1A1,424
ATP1A2,425
ATP1A3,426
ATP1B1,427
ATP1B2,428
ATP1B3,429
ATP2A2,430
ATP2A3,431
ATP2B1,432
ATP2B2,433
ATP2B3,434
ATP2B4,435
ATP2C1,436
ATP5A1,437
ATP5B,438
ATP5C1,439
ATP5D,440
ATP5E,441
ATP5F1,442
ATP5H,443
ATP5I,444
ATP5J,445
ATP5L,446
ATP5S,447
ATP5SL,448
ATP6AP1,449
ATP6AP2,450
ATP6V0A1,451
ATP6V0D1,452
ATP6V1A,453
ATP6V1B2,454
ATP6V1C1,455
ATP6V1D,456
ATP6V1E1,457
ATP6V1F,458
ATP6V1G1,459
ATP6V1G2,460
ATP6V1H,461
ATP8A1,462
ATP8A2,463
ATP9A,464
ATPAF1,465
ATRNL1,466
ATRX,467
ATXN1,468
ATXN10,469
ATXN2,470
ATXN2L,471
AUH,472
AVEN,473
AVL9,474
AZGP1,475
AZI2,476
B2M,477
B3GAT3,478
B4GALNT1,479
B4GAT1,480
BAALC,481
BACE1,482
BAG2,483
BAG3,484
BAG4,485
BAG5,486
BAHCC1,487
BAIAP2,488
BAIAP3,489
BASP1,490
BAZ1B,491
BBOX1,492
BBS2,493
BBS4,494
BCAM,495
BCAP29,496
BCAP31,497
BCAR1,498
BCAR3,499
BCAS1,500
BCAS2,501
BCAS3,502
BCAT1,503
BCKDHB,504
BCKDK,505
BCL10,506
BCL2L1,507
BCL2L13,508
BCL2L2,509
BCL7A,510
BCLAF1,511
BCR,512
BCS1L,513
BDH1,514
BDH2,515
BECN1,516
BEGAIN,517
BGN,518
BIN1,519
BIRC2,520
BIRC6,521
BLMH,522
BLVRA,523
BLVRB,524
BMPR1A,525
BMPR2,526
BMS1,527
BNIP1,528
BNIP3,529
BNIP3L,530
BOD1,531
BOLA1,532
BOLA2,533
BOLA3,534
BPGM,535
BPNT1,536
BRAF,537
BRCC3,538
BRD4,539
BRE,540
BRI3BP,541
BRINP1,542
BRINP2,543
BRK1,544
BROX,545
BRSK1,546
BRSK2,547
BSDC1,548
BSN,549
BST2,550
BTBD11,551
BTBD17,552
BTF3,553
BTF3L4,554
BTN3A2,555
BTN3A3,556
BUB3,557
BUD31,558
BYSL,559
BZW1,560
BZW2,561
C10orf35,562
C10orf76,563
C11orf58,564
C11orf73,565
C12orf10,566
C12orf29,567
C12orf4,568
C12orf45,569
C12orf57,570
C12orf73,571
C14orf142,572
C14orf166,573
C14orf2,574
C16orf45,575
C16orf58,576
C16orf62,577
C16orf70,578
C17orf49,579
C17orf62,580
C17orf75,581
C18orf25,582
C18orf32,583
C18orf8,584
C19orf43,585
C19orf52,586
C19orf53,587
C19orf66,588
C19orf70,589
C1QA,590
C1QB,591
C1QBP,592
C1QC,593
C1QL1,594
C1QL2,595
C1QL3,596
C1R,597
C1S,598
C1orf116,599
C1orf122,600
C1orf123,601
C1orf167,602
C1orf198,603
C1orf21,604
C1orf27,605
C1orf52,606
C1orf95,607
C2,608
C20orf194,609
C21orf2,610
C2CD2,611
C2CD2L,612
C2CD4C,613
C2CD5,614
C2orf47,615
C2orf69,616
C2orf72,617
C2orf88,618
C3,619
C4A,620
C4B,621
C4BPA,622
C4orf27,623
C5,624
C5orf51,625
C6,626
C6orf136,627
C6orf203,628
C7,629
C7orf43,630
C8A,631
C8orf46,632
C8orf82,633
C9,634
C9orf142,635
C9orf16,636
C9orf64,637
C9orf72,638
C9orf78,639
CA1,640
CA10,641
CA14,642
CA2,643
CA3,644
CA4,645
CA8,646
CAB39,647
CAB39L,648
CABLES1,649
CABP1,650
CACHD1,651
CACNA1A,652
CACNA1B,653
CACNA1C,654
CACNA1E,655
CACNA2D1,656
CACNA2D2,657
CACNA2D3,658
CACNB1,659
CACNB2,660
CACNB3,661
CACNB4,662
CACNG2,663
CACNG3,664
CACNG8,665
CACYBP,666
CAD,667
CADM1,668
CADM2,669
CADM3,670
CADM4,671
CADPS,672
CADPS2,673
CALB1,674
CALB2,675
CALCOCO1,676
CALCOCO2,677
CALD1,678
CALM2,679
CALML3,680
CALR,681
CALU,682
CAMK1,683
CAMK1D,684
CAMK1G,685
CAMK2A,686
CAMK2B,687
CAMK2D,688
CAMK2G,689
CAMK2N1,690
CAMK2N2,691
CAMK4,692
CAMKK1,693
CAMKK2,694
CAMKV,695
CAMSAP1,696
CAMSAP2,697
CAMSAP3,698
CAND1,699
CANX,700
CAP1,701
CAP2,702
CAPG,703
CAPN1,704
CAPN2,705
CAPN5,706
CAPN7,707
CAPNS1,708
CAPRIN1,709
CAPRIN2,710
CAPS,711
CAPZA2,712
CAPZB,713
CARHSP1,714
CARKD,715
CARM1,716
CARNS1,717
CARS,718
CARS2,719
CARTPT,720
CASC3,721
CASC4,722
CASK,723
CASKIN1,724
CASP1,725
CAST,726
CAT,727
CATSPER2,728
CAV1,729
CAV2,730
CBFB,731
CBL,732
CBLN4,733
CBR1,734
CBR3,735
CBS,736
CBX1,737
CBX3,738
CBX5,739
CC2D1A,740
CC2D1B,741
CCAR1,742
CCAR2,743
CCDC12,744
CCDC124,745
CCDC127,746
CCDC129,747
CCDC136,748
CCDC177,749
CCDC25,750
CCDC28A,751
CCDC43,752
CCDC47,753
CCDC50,754
CCDC51,755
CCDC58,756
CCDC6,757
CCDC85A,758
CCDC88A,759
CCDC9,760
CCDC90B,761
CCDC91,762
CCDC93,763
CCK,764
CCM2,765
CCNT2,766
CCNY,767
CCNYL1,768
CCP110,769
CCS,770
CCSAP,771
CCT2,772
CCT3,773
CCT4,774
CCT5,775
CCT6A,776
CCT7,777
CCT8,778
CD109,779
CD14,780
CD151,781
CD163,782
CD200,783
CD2AP,784
CD2BP2,785
CD44,786
CD46,787
CD47,788
CD55,789
CD58,790
CD59,791
CD5L,792
CD63,793
CD74,794
CD81,795
CD82,796
CD9,797
CD93,798
CD99,799
CD99L2,800
CDA,801
CDC16,802
CDC27,803
CDC34,804
CDC37,805
CDC42,806
CDC42BPA,807
CDC42BPB,808
CDC42EP1,809
CDC42EP2,810
CDC42EP4,811
CDC42SE2,812
CDC5L,813
CDC73,814
CDH10,815
CDH11,816
CDH13,817
CDH18,818
CDH2,819
CDH20,820
CDH22,821
CDH4,822
CDH6,823
CDH7,824
CDH8,825
CDH9,826
CDIP1,827
CDIPT,828
CDK14,829
CDK16,830
CDK17,831
CDK18,832
CDK5,833
CDK5RAP3,834
CDK9,835
CDKL5,836
CDKN1B,837
CDKN2AIP,838
CDKN2C,839
CDR2L,840
CDS1,841
CDS2,842
CDV3,843
CDYL2,844
CEBPZOS,845
CECR5,846
CECR6,847
CELF1,848
CELF2,849
CELF3,850
CELF5,851
CELSR2,852
CEND1,853
CENPE,854
CENPP,855
CENPV,856
CEP135,857
CEP170,858
CEP170B,859
CEP97,860
CERS1,861
CERS2,862
CERS4,863
CERS6,864
CES1,865
CETN2,866
CFAP20,867
CFDP1,868
CFH,869
CFI,870
CFL1,871
CFL2,872
CGGBP1,873
CGNL1,874
CHAMP1,875
CHCHD1,876
CHCHD2,877
CHCHD3,878
CHCHD4,879
CHCHD6,880
CHD3,881
CHD4,882
CHD5,883
CHDH,884
CHGA,885
CHGB,886
CHI3L1,887
CHID1,888
CHL1,889
CHM,890
CHMP1A,891
CHMP2A,892
CHMP2B,893
CHMP3,894
CHMP4A,895
CHMP4B,896
CHMP5,897
CHMP6,898
CHMP7,899
CHN1,900
CHORDC1,901
CHP1,902
CHRM1,903
CHRM3,904
CHTF8,905
CHTOP,906
CHUK,907
CIAO1,908
CIAPIN1,909
CIB1,910
CIC,911
CIRBP,912
CISD1,913
CISD2,914
CIT,915
CKAP4,916
CKAP5,917
CKB,918
CKM,919
CKMT1A,920
CKMT2,921
CLASP1,922
CLASP2,923
CLCN3,924
CLCN4,925
CLCN5,926
CLCN7,927
CLDN10,928
CLDN11,929
CLDND1,930
CLEC2L,931
CLEC3B,932
